"","hatchery","brood_year","run_year","tag_code","hatchery_location_name","release_location_name","age","tot_estnum","tot_N_rec","stray_ind","avg_FL","Total_N","rel_month","avg_day","dist_hatch_ocean","Cleaned.up.site.name","LAT","LONG","Category","Bay","dist_hatch","dist_ocean","dist_hatchR","Xchannel","flow.10","flow.1011","flow.911","flow.1011R","flow.J45","flow.J36","flow.J45R","flow_discrep","runoff","LH_Type","LH_Type2","rel_month2","rel_flow","delta_temp.1011","mean_PDO_retn","mean_PDO_outmig","PDO_discrep","runsize"
"11","coleman",2006,2009,501040808,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",3,2.53,1,1,58,25436,3,81,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"12","coleman",2006,2009,501040803,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",3,7.521,7.491,0,57,25930,3,74,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"13","coleman",2006,2009,53865,"COLEMAN NFH","COLEMAN NFH",3,1.4953,1.4953,0,69,212280,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"14","coleman",2006,2009,53794,"COLEMAN NFH","COLEMAN NFH",3,1145.81021368229,969.7,0.0311222689905087,77,5103834,4,102.5,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Smolt","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"15","coleman",2006,2009,501040805,"COLEMAN NFH","SAC R AT CLARKSBURG",3,13.9,8,1,59,25784,3,81,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"16","coleman",2006,2010,53794,"COLEMAN NFH","COLEMAN NFH",4,102.46,86.89,0.160745656841694,77,5103834,4,102.5,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,388.491803278689,390.368852459016,0.07180929236121,-116.540983606557,529,"Smolt","Smolt",4,413.5,60.3207086009836,-0.3125,-0.195833333333333,-0.116666666666667,23868
"17","coleman",2006,2009,53864,"COLEMAN NFH","COLEMAN NFH",3,5.996,5.986,0,69,212280,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"18","coleman",2006,2009,501040806,"COLEMAN NFH","SAC R AT CLARKSBURG",3,11.9,6,1,59,25074,3,81,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"19","coleman",2006,2010,53795,"COLEMAN NFH","COLEMAN NFH",4,26.822,26.452,0,75,5686939,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,388.491803278689,390.368852459016,0.07180929236121,-116.540983606557,529,"Smolt","Smolt",4,413.5,60.3207086009836,-0.3125,-0.195833333333333,-0.116666666666667,23868
"20","coleman",2006,2010,501040803,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",4,1.3985,1.3885,0,57,25930,3,74,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,388.491803278689,390.368852459016,0.07180929236121,-116.540983606557,529,"Fry","Smolt",3,486.483870967742,60.3207086009836,-0.3125,-0.195833333333333,-0.116666666666667,23868
