date,location,statistic,deg_f,watershed
2020-01-08T00:00:00Z,colemandam,min,42.8870375,battle creek
2020-01-08T00:00:00Z,colemandam,dif,4.6844250000000045,battle creek
2020-01-09T00:00:00Z,ubc,avg,48.13849464285714,battle creek
2020-01-09T00:00:00Z,ubc,max,50.5284125,battle creek
2020-01-09T00:00:00Z,ubc,min,44.8614875,battle creek
2020-01-09T00:00:00Z,ubc,dif,5.666924999999999,battle creek
2020-01-09T00:00:00Z,wildcat,avg,47.78303125,battle creek
2020-01-09T00:00:00Z,wildcat,max,50.0042,battle creek
2020-01-09T00:00:00Z,wildcat,min,45.66995,battle creek
2020-01-09T00:00:00Z,wildcat,dif,4.334249999999997,battle creek
2020-01-09T00:00:00Z,colemandam,avg,46.5756625,battle creek
2020-01-09T00:00:00Z,colemandam,max,49.0319,battle creek
2020-01-09T00:00:00Z,colemandam,min,43.84205,battle creek
2020-01-09T00:00:00Z,colemandam,dif,5.18985,battle creek
2020-01-10T00:00:00Z,ubc,avg,48.60155535714286,battle creek
2020-01-10T00:00:00Z,ubc,max,51.6728375,battle creek
2020-01-10T00:00:00Z,ubc,min,45.932375,battle creek
2020-01-10T00:00:00Z,ubc,dif,5.7404625,battle creek
2020-01-10T00:00:00Z,wildcat,avg,47.73113125,battle creek
2020-01-10T00:00:00Z,wildcat,max,50.3706125,battle creek
2020-01-10T00:00:00Z,wildcat,min,46.1615375,battle creek
2020-01-10T00:00:00Z,wildcat,dif,4.209074999999999,battle creek
2020-01-10T00:00:00Z,colemandam,avg,46.5098125,battle creek
2020-01-10T00:00:00Z,colemandam,max,49.544825,battle creek
2020-01-10T00:00:00Z,colemandam,min,44.13665,battle creek
2020-01-10T00:00:00Z,colemandam,dif,5.408175,battle creek
2020-01-11T00:00:00Z,ubc,avg,47.72585,battle creek
2020-01-11T00:00:00Z,ubc,max,50.509212500000004,battle creek
2020-01-11T00:00:00Z,ubc,min,46.3739,battle creek
2020-01-11T00:00:00Z,ubc,dif,4.135312500000005,battle creek
2020-01-11T00:00:00Z,wildcat,avg,47.35265625,battle creek
2020-01-11T00:00:00Z,wildcat,max,49.2281375,battle creek
2020-01-11T00:00:00Z,wildcat,min,46.020125,battle creek
2020-01-11T00:00:00Z,wildcat,dif,3.2080125000000024,battle creek
2020-01-11T00:00:00Z,colemandam,avg,46.0183375,battle creek
2020-01-11T00:00:00Z,colemandam,max,48.561462500000005,battle creek
2020-01-11T00:00:00Z,colemandam,min,44.545137499999996,battle creek
2020-01-11T00:00:00Z,colemandam,dif,4.016325000000009,battle creek
2020-01-12T00:00:00Z,ubc,avg,47.89106964285715,battle creek
2020-01-12T00:00:00Z,ubc,max,50.7811625,battle creek
2020-01-12T00:00:00Z,ubc,min,45.165275,battle creek
2020-01-12T00:00:00Z,ubc,dif,5.6158874999999995,battle creek
2020-01-12T00:00:00Z,wildcat,avg,47.56413125,battle creek
2020-01-12T00:00:00Z,wildcat,max,49.5801125,battle creek
2020-01-12T00:00:00Z,wildcat,min,44.6432,battle creek
2020-01-12T00:00:00Z,wildcat,dif,4.936912499999998,battle creek
2020-01-12T00:00:00Z,colemandam,avg,46.16583125,battle creek
2020-01-12T00:00:00Z,colemandam,max,49.050725,battle creek
2020-01-12T00:00:00Z,colemandam,min,43.1993375,battle creek
2020-01-12T00:00:00Z,colemandam,dif,5.851387500000001,battle creek
2020-01-13T00:00:00Z,ubc,avg,48.0978875,battle creek
2020-01-13T00:00:00Z,ubc,max,50.9178125,battle creek
2020-01-13T00:00:00Z,ubc,min,45.1377875,battle creek
2020-01-13T00:00:00Z,ubc,dif,5.780024999999995,battle creek
2020-01-13T00:00:00Z,wildcat,avg,47.968881249999995,battle creek
2020-01-13T00:00:00Z,wildcat,max,49.598524999999995,battle creek
2020-01-13T00:00:00Z,wildcat,min,45.699349999999995,battle creek
2020-01-13T00:00:00Z,wildcat,dif,3.8991749999999996,battle creek
2020-01-13T00:00:00Z,colemandam,avg,46.316137499999996,battle creek
2020-01-13T00:00:00Z,colemandam,max,49.1148125,battle creek
2020-01-13T00:00:00Z,colemandam,min,44.3821625,battle creek
2020-01-13T00:00:00Z,colemandam,dif,4.73265,battle creek
2020-01-14T00:00:00Z,ubc,avg,48.37723035714286,battle creek
2020-01-14T00:00:00Z,ubc,max,51.2654,battle creek
2020-01-14T00:00:00Z,ubc,min,45.9531875,battle creek
2020-01-14T00:00:00Z,ubc,dif,5.312212500000001,battle creek
2020-01-14T00:00:00Z,wildcat,avg,48.33749375,battle creek
2020-01-14T00:00:00Z,wildcat,max,50.7413375,battle creek
2020-01-14T00:00:00Z,wildcat,min,46.112525,battle creek
2020-01-14T00:00:00Z,wildcat,dif,4.628812500000002,battle creek
2020-01-14T00:00:00Z,colemandam,avg,46.961802500000005,battle creek
2020-01-14T00:00:00Z,colemandam,max,49.657700000000006,battle creek
2020-01-14T00:00:00Z,colemandam,min,45.07085,battle creek
2020-01-14T00:00:00Z,colemandam,dif,4.586850000000005,battle creek
2020-01-15T00:00:00Z,ubc,avg,48.32657857142857,battle creek
2020-01-15T00:00:00Z,ubc,max,50.1109625,battle creek
2020-01-15T00:00:00Z,ubc,min,46.776425,battle creek
2020-01-15T00:00:00Z,ubc,dif,3.334537499999996,battle creek
2020-01-15T00:00:00Z,wildcat,avg,48.2185875,battle creek
2020-01-15T00:00:00Z,wildcat,max,49.4913875,battle creek
2020-01-15T00:00:00Z,wildcat,min,47.180225,battle creek
2020-01-15T00:00:00Z,wildcat,dif,2.311162500000002,battle creek
2020-01-15T00:00:00Z,colemandam,avg,46.0672625,battle creek
2020-01-15T00:00:00Z,colemandam,max,48.42755,battle creek
2020-01-15T00:00:00Z,colemandam,min,41.09,battle creek
2020-01-15T00:00:00Z,colemandam,dif,7.337549999999993,battle creek
2020-01-16T00:00:00Z,ubc,avg,48.29633214285714,battle creek
2020-01-16T00:00:00Z,ubc,max,49.930099999999996,battle creek
2020-01-16T00:00:00Z,ubc,min,47.1321875,battle creek
2020-01-16T00:00:00Z,ubc,dif,2.7979124999999954,battle creek
2020-01-16T00:00:00Z,wildcat,avg,48.05586875,battle creek
2020-01-16T00:00:00Z,wildcat,max,50.242175,battle creek
2020-01-16T00:00:00Z,wildcat,min,46.811899999999994,battle creek
2020-01-16T00:00:00Z,wildcat,dif,3.430275000000009,battle creek
2020-01-16T00:00:00Z,colemandam,avg,46.413695000000004,battle creek
2020-01-16T00:00:00Z,colemandam,max,48.9057875,battle creek
2020-01-16T00:00:00Z,colemandam,min,44.9592875,battle creek
2020-01-16T00:00:00Z,colemandam,dif,3.9465000000000003,battle creek
2020-01-17T00:00:00Z,ubc,avg,48.49480892857143,battle creek
2020-01-17T00:00:00Z,ubc,max,51.817925,battle creek
2020-01-17T00:00:00Z,ubc,min,46.7721875,battle creek
2020-01-17T00:00:00Z,ubc,dif,5.045737500000001,battle creek
2020-01-17T00:00:00Z,wildcat,avg,48.16945,battle creek
2020-01-17T00:00:00Z,wildcat,max,50.8359875,battle creek
2020-01-17T00:00:00Z,wildcat,min,46.6706,battle creek
2020-01-17T00:00:00Z,wildcat,dif,4.165387500000001,battle creek
2020-01-17T00:00:00Z,colemandam,avg,46.656755,battle creek
2020-01-17T00:00:00Z,colemandam,max,50.3235875,battle creek
2020-01-17T00:00:00Z,colemandam,min,44.8201625,battle creek
2020-01-17T00:00:00Z,colemandam,dif,5.503425,battle creek
2020-01-18T00:00:00Z,ubc,avg,48.30753392857143,battle creek
2020-01-18T00:00:00Z,ubc,max,52.223749999999995,battle creek
2020-01-18T00:00:00Z,ubc,min,45.860524999999996,battle creek
2020-01-18T00:00:00Z,ubc,dif,6.363225,battle creek
2020-01-18T00:00:00Z,wildcat,avg,48.28229375,battle creek
2020-01-18T00:00:00Z,wildcat,max,51.119975,battle creek
2020-01-18T00:00:00Z,wildcat,min,45.6431375,battle creek
2020-01-18T00:00:00Z,wildcat,dif,5.476837499999995,battle creek
2020-01-18T00:00:00Z,colemandam,avg,46.424240000000005,battle creek
2020-01-18T00:00:00Z,colemandam,max,49.946675,battle creek
2020-01-18T00:00:00Z,colemandam,min,44.2502375,battle creek
2020-01-18T00:00:00Z,colemandam,dif,5.696437500000002,battle creek
2020-01-19T00:00:00Z,ubc,avg,48.2877125,battle creek
2020-01-19T00:00:00Z,ubc,max,51.968225000000004,battle creek
2020-01-19T00:00:00Z,ubc,min,45.771724999999996,battle creek
2020-01-19T00:00:00Z,ubc,dif,6.1965000000000074,battle creek
2020-01-19T00:00:00Z,wildcat,avg,48.30671875,battle creek
2020-01-19T00:00:00Z,wildcat,max,50.74283749999999,battle creek
2020-01-19T00:00:00Z,wildcat,min,45.85745,battle creek
2020-01-19T00:00:00Z,wildcat,dif,4.885387499999993,battle creek
2020-01-19T00:00:00Z,colemandam,avg,46.4661725,battle creek
2020-01-19T00:00:00Z,colemandam,max,49.7480375,battle creek
2020-01-19T00:00:00Z,colemandam,min,44.6717375,battle creek
2020-01-19T00:00:00Z,colemandam,dif,5.076300000000003,battle creek
2020-01-20T00:00:00Z,ubc,avg,47.792835714285715,battle creek
2020-01-20T00:00:00Z,ubc,max,49.2652625,battle creek
2020-01-20T00:00:00Z,ubc,min,45.292325,battle creek
2020-01-20T00:00:00Z,ubc,dif,3.9729375000000005,battle creek
2020-01-20T00:00:00Z,wildcat,avg,47.41625,battle creek
2020-01-20T00:00:00Z,wildcat,max,48.579875,battle creek
2020-01-20T00:00:00Z,wildcat,min,45.334625,battle creek
2020-01-20T00:00:00Z,wildcat,dif,3.2452499999999986,battle creek
2020-01-20T00:00:00Z,colemandam,avg,46.59956,battle creek
2020-01-20T00:00:00Z,colemandam,max,47.6185625,battle creek
2020-01-20T00:00:00Z,colemandam,min,45.5311625,battle creek
2020-01-20T00:00:00Z,colemandam,dif,2.0874000000000024,battle creek
2020-01-21T00:00:00Z,ubc,avg,47.67456607142857,battle creek
2020-01-21T00:00:00Z,ubc,max,50.677475,battle creek
2020-01-21T00:00:00Z,ubc,min,44.4895625,battle creek
2020-01-21T00:00:00Z,ubc,dif,6.187912500000003,battle creek
2020-01-21T00:00:00Z,wildcat,avg,47.4169,battle creek
2020-01-21T00:00:00Z,wildcat,max,49.070825,battle creek
2020-01-21T00:00:00Z,wildcat,min,44.9722625,battle creek
2020-01-21T00:00:00Z,wildcat,dif,4.0985625,battle creek
2020-01-21T00:00:00Z,colemandam,avg,46.8112175,battle creek
2020-01-21T00:00:00Z,colemandam,max,48.5858375,battle creek
2020-01-21T00:00:00Z,colemandam,min,43.765025,battle creek
2020-01-21T00:00:00Z,colemandam,dif,4.820812499999995,battle creek
2020-01-22T00:00:00Z,ubc,avg,47.250414285714285,battle creek
2020-01-22T00:00:00Z,ubc,max,49.8187625,battle creek
2020-01-22T00:00:00Z,ubc,min,44.5048625,battle creek
2020-01-22T00:00:00Z,ubc,dif,5.313899999999997,battle creek
2020-01-22T00:00:00Z,wildcat,avg,47.737787499999996,battle creek
2020-01-22T00:00:00Z,wildcat,max,49.2696125,battle creek
2020-01-22T00:00:00Z,wildcat,min,45.1936625,battle creek
2020-01-22T00:00:00Z,wildcat,dif,4.075949999999999,battle creek
2020-01-22T00:00:00Z,colemandam,avg,46.00031,battle creek
2020-01-22T00:00:00Z,colemandam,max,47.4777875,battle creek
2020-01-22T00:00:00Z,colemandam,min,44.262275,battle creek
2020-01-22T00:00:00Z,colemandam,dif,3.2155124999999956,battle creek
2020-01-23T00:00:00Z,ubc,avg,47.765498214285714,battle creek
2020-01-23T00:00:00Z,ubc,max,50.5047875,battle creek
2020-01-23T00:00:00Z,ubc,min,44.9505875,battle creek
2020-01-23T00:00:00Z,ubc,dif,5.554200000000002,battle creek
2020-01-23T00:00:00Z,wildcat,avg,48.10293125,battle creek
2020-01-23T00:00:00Z,wildcat,max,49.5976625,battle creek
2020-01-23T00:00:00Z,wildcat,min,45.364925,battle creek
2020-01-23T00:00:00Z,wildcat,dif,4.232737499999999,battle creek
2020-01-23T00:00:00Z,colemandam,avg,46.11464,battle creek
2020-01-23T00:00:00Z,colemandam,max,48.4178,battle creek
2020-01-23T00:00:00Z,colemandam,min,43.2736625,battle creek
2020-01-23T00:00:00Z,colemandam,dif,5.144137499999999,battle creek
2020-01-24T00:00:00Z,ubc,avg,47.77950178571429,battle creek
2020-01-24T00:00:00Z,ubc,max,50.458325,battle creek
2020-01-24T00:00:00Z,ubc,min,45.2661875,battle creek
2020-01-24T00:00:00Z,ubc,dif,5.192137500000001,battle creek
2020-01-24T00:00:00Z,wildcat,avg,47.91091875,battle creek
2020-01-24T00:00:00Z,wildcat,max,49.31255,battle creek
2020-01-24T00:00:00Z,wildcat,min,45.96335,battle creek
2020-01-24T00:00:00Z,wildcat,dif,3.3492000000000033,battle creek
2020-01-24T00:00:00Z,colemandam,avg,46.236005000000006,battle creek
2020-01-24T00:00:00Z,colemandam,max,48.019062500000004,battle creek
2020-01-24T00:00:00Z,colemandam,min,44.1618875,battle creek
2020-01-24T00:00:00Z,colemandam,dif,3.857175000000005,battle creek
2020-01-25T00:00:00Z,ubc,avg,48.10030357142857,battle creek
2020-01-25T00:00:00Z,ubc,max,50.8738625,battle creek
2020-01-25T00:00:00Z,ubc,min,45.809225,battle creek
2020-01-25T00:00:00Z,ubc,dif,5.0646375000000035,battle creek
2020-01-25T00:00:00Z,wildcat,avg,48.294,battle creek
2020-01-25T00:00:00Z,wildcat,max,50.096825,battle creek
2020-01-25T00:00:00Z,wildcat,min,46.9296875,battle creek
2020-01-25T00:00:00Z,wildcat,dif,3.1671375000000026,battle creek
2020-01-25T00:00:00Z,colemandam,avg,46.90553,battle creek
2020-01-25T00:00:00Z,colemandam,max,48.8981,battle creek
2020-01-25T00:00:00Z,colemandam,min,44.6977625,battle creek
2020-01-25T00:00:00Z,colemandam,dif,4.200337499999996,battle creek
2020-01-26T00:00:00Z,ubc,avg,48.001485714285714,battle creek
2020-01-26T00:00:00Z,ubc,max,51.348650000000006,battle creek
2020-01-26T00:00:00Z,ubc,min,46.13675,battle creek
2020-01-26T00:00:00Z,ubc,dif,5.211900000000007,battle creek
2020-01-26T00:00:00Z,wildcat,avg,47.8246625,battle creek
2020-01-26T00:00:00Z,wildcat,max,50.480487499999995,battle creek
2020-01-26T00:00:00Z,wildcat,min,45.5424875,battle creek
2020-01-26T00:00:00Z,wildcat,dif,4.937999999999995,battle creek
2020-01-26T00:00:00Z,colemandam,avg,46.468727287234046,battle creek
2020-01-26T00:00:00Z,colemandam,max,49.1538875,battle creek
2020-01-26T00:00:00Z,colemandam,min,44.70425,battle creek
2020-01-26T00:00:00Z,colemandam,dif,4.4496375000000015,battle creek
2020-01-27T00:00:00Z,ubc,avg,47.81410357142857,battle creek
2020-01-27T00:00:00Z,ubc,max,51.989937499999996,battle creek
2020-01-27T00:00:00Z,ubc,min,43.5082625,battle creek
2020-01-27T00:00:00Z,ubc,dif,8.481674999999996,battle creek
2020-01-27T00:00:00Z,wildcat,avg,47.6070125,battle creek
2020-01-27T00:00:00Z,wildcat,max,49.738925,battle creek
2020-01-27T00:00:00Z,wildcat,min,45.0050375,battle creek
2020-01-27T00:00:00Z,wildcat,dif,4.733887500000002,battle creek
2020-01-27T00:00:00Z,colemandam,avg,46.897062500000004,battle creek
2020-01-27T00:00:00Z,colemandam,max,49.230199999999996,battle creek
2020-01-27T00:00:00Z,colemandam,min,44.961725,battle creek
2020-01-27T00:00:00Z,colemandam,dif,4.268474999999995,battle creek
2020-01-28T00:00:00Z,ubc,avg,48.18181785714286,battle creek
2020-01-28T00:00:00Z,ubc,max,51.65375,battle creek
2020-01-28T00:00:00Z,ubc,min,43.458687499999996,battle creek
2020-01-28T00:00:00Z,ubc,dif,8.195062500000006,battle creek
2020-01-28T00:00:00Z,wildcat,avg,47.946425000000005,battle creek
2020-01-28T00:00:00Z,wildcat,max,50.5176125,battle creek
2020-01-28T00:00:00Z,wildcat,min,45.464525,battle creek
2020-01-28T00:00:00Z,wildcat,dif,5.053087499999997,battle creek
2020-01-28T00:00:00Z,colemandam,avg,47.31881,battle creek
2020-01-28T00:00:00Z,colemandam,max,50.061237500000004,battle creek
2020-01-28T00:00:00Z,colemandam,min,45.2764625,battle creek
2020-01-28T00:00:00Z,colemandam,dif,4.784775000000003,battle creek
2020-01-29T00:00:00Z,ubc,avg,48.75070892857143,battle creek
2020-01-29T00:00:00Z,ubc,max,53.191437500000006,battle creek
2020-01-29T00:00:00Z,ubc,min,46.1934875,battle creek
2020-01-29T00:00:00Z,ubc,dif,6.997950000000003,battle creek
2020-01-29T00:00:00Z,wildcat,avg,48.40114375,battle creek
2020-01-29T00:00:00Z,wildcat,max,51.326825,battle creek
2020-01-29T00:00:00Z,wildcat,min,47.036225,battle creek
2020-01-29T00:00:00Z,wildcat,dif,4.290599999999998,battle creek
2020-01-29T00:00:00Z,colemandam,avg,47.3231825,battle creek
2020-01-29T00:00:00Z,colemandam,max,51.177125000000004,battle creek
2020-01-29T00:00:00Z,colemandam,min,45.03215,battle creek
2020-01-29T00:00:00Z,colemandam,dif,6.144975000000002,battle creek
2020-01-30T00:00:00Z,ubc,avg,49.11993928571428,battle creek
2020-01-30T00:00:00Z,ubc,max,52.722575,battle creek
2020-01-30T00:00:00Z,ubc,min,46.6413125,battle creek
2020-01-30T00:00:00Z,ubc,dif,6.081262500000001,battle creek
2020-01-30T00:00:00Z,wildcat,avg,48.334,battle creek
2020-01-30T00:00:00Z,wildcat,max,50.75135,battle creek
2020-01-30T00:00:00Z,wildcat,min,46.2987125,battle creek
2020-01-30T00:00:00Z,wildcat,dif,4.452637500000002,battle creek
2020-01-30T00:00:00Z,colemandam,avg,46.9692575,battle creek
2020-01-30T00:00:00Z,colemandam,max,50.351637499999995,battle creek
2020-01-30T00:00:00Z,colemandam,min,44.3769875,battle creek
2020-01-30T00:00:00Z,colemandam,dif,5.974649999999997,battle creek
2020-01-31T00:00:00Z,ubc,avg,48.97326607142857,battle creek
2020-01-31T00:00:00Z,ubc,max,52.71447499999999,battle creek
2020-01-31T00:00:00Z,ubc,min,43.5841625,battle creek
2020-01-31T00:00:00Z,ubc,dif,9.130312499999995,battle creek
2020-01-31T00:00:00Z,wildcat,avg,48.26205,battle creek
2020-01-31T00:00:00Z,wildcat,max,50.816824999999994,battle creek
2020-01-31T00:00:00Z,wildcat,min,43.89785,battle creek
2020-01-31T00:00:00Z,wildcat,dif,6.918974999999996,battle creek
2020-01-31T00:00:00Z,colemandam,avg,46.6619375,battle creek
2020-01-31T00:00:00Z,colemandam,max,50.3497625,battle creek
2020-01-31T00:00:00Z,colemandam,min,41.3324375,battle creek
2020-01-31T00:00:00Z,colemandam,dif,9.017325,battle creek
2020-02-01T00:00:00Z,ubc,avg,49.042925,battle creek
2020-02-01T00:00:00Z,ubc,max,52.3599875,battle creek
2020-02-01T00:00:00Z,ubc,min,43.5929,battle creek
2020-02-01T00:00:00Z,ubc,dif,8.767087500000002,battle creek
2020-02-01T00:00:00Z,wildcat,avg,48.494150000000005,battle creek
2020-02-01T00:00:00Z,wildcat,max,50.8669625,battle creek
2020-02-01T00:00:00Z,wildcat,min,44.7552125,battle creek
2020-02-01T00:00:00Z,wildcat,dif,6.111750000000001,battle creek
2020-02-01T00:00:00Z,colemandam,avg,46.66847,battle creek
