date,watershed,mean_daily_temp_F,mean_daily_temp_C
1979-01-01,Clear Creek,44.40660858154297,6.892560323079427
1979-01-01,Cottonwood Creek,50.208492279052734,10.115829043918186
1979-01-01,Upper Sacramento River,50.740421295166016,10.41134516398112
1979-01-02,Clear Creek,44.514686584472656,6.952603658040364
1979-01-02,Cottonwood Creek,48.78963470458984,9.327574835883244
1979-01-02,Upper Sacramento River,50.532569885253906,10.295872158474392
1979-01-03,Clear Creek,44.679874420166016,7.0443746778700085
1979-01-03,Cottonwood Creek,49.012916564941406,9.451620313856337
1979-01-03,Upper Sacramento River,50.68121719360352,10.378453996446401
1979-01-04,Clear Creek,44.88296890258789,7.157204945882161
1979-01-04,Cottonwood Creek,49.21086120605469,9.561589558919271
1979-01-04,Upper Sacramento River,50.739410400390625,10.41078355577257
1979-01-05,Clear Creek,45.099334716796875,7.277408175998264
1979-01-05,Cottonwood Creek,49.59276580810547,9.773758782280815
1979-01-05,Upper Sacramento River,50.92053985595703,10.51141103108724
1979-01-06,Clear Creek,45.4107666015625,7.450425889756945
1979-01-06,Cottonwood Creek,50.015525817871094,10.00862545437283
1979-01-06,Upper Sacramento River,51.163543701171875,10.646413167317709
1979-01-07,Clear Creek,45.4451904296875,7.469550238715278
1979-01-07,Cottonwood Creek,50.19794464111328,10.109969245062935
1979-01-07,Upper Sacramento River,51.24079895019531,10.689332750108507
1979-01-08,Clear Creek,45.4886474609375,7.493693033854167
1979-01-08,Cottonwood Creek,49.88644790649414,9.936915503607857
1979-01-08,Upper Sacramento River,51.001556396484375,10.556420220269096
1979-01-09,Clear Creek,45.589107513427734,7.549504174126519
1979-01-09,Cottonwood Creek,49.719451904296875,9.844139946831596
1979-01-09,Upper Sacramento River,50.940673828125,10.522596571180555
1979-01-10,Clear Creek,45.62028121948242,7.566822899712457
1979-01-10,Cottonwood Creek,49.75415802001953,9.863421122233072
1979-01-10,Upper Sacramento River,50.93405532836914,10.518919626871744
1979-01-11,Clear Creek,45.94203186035156,7.745573255750868
1979-01-11,Cottonwood Creek,50.05966567993164,10.033147599962023
1979-01-11,Upper Sacramento River,51.146934509277344,10.637185838487413
1979-01-12,Clear Creek,46.35469055175781,7.9748280843098955
1979-01-12,Cottonwood Creek,50.91696548461914,10.509425269232857
1979-01-12,Upper Sacramento River,51.7358283996582,10.964349110921225
1979-01-13,Clear Creek,46.042213439941406,7.801229688856337
1979-01-13,Cottonwood Creek,50.79979705810547,10.444331698947483
1979-01-13,Upper Sacramento River,51.52399826049805,10.846665700276693
1979-01-14,Clear Creek,45.97902297973633,7.766123877631293
1979-01-14,Cottonwood Creek,50.26121139526367,10.14511744181315
1979-01-14,Upper Sacramento River,51.13391876220703,10.629954867892796
1979-01-15,Clear Creek,45.87099075317383,7.70610597398546
1979-01-15,Cottonwood Creek,49.65119171142578,9.806217617458767
1979-01-15,Upper Sacramento River,50.73592376708984,10.408846537272133
1979-01-16,Clear Creek,45.49467849731445,7.497043609619141
1979-01-16,Cottonwood Creek,49.330810546875,9.628228081597221
1979-01-16,Upper Sacramento River,50.54718017578125,10.30398898654514
1979-01-17,Clear Creek,45.5882453918457,7.549025217692058
1979-01-17,Cottonwood Creek,49.543609619140625,9.746449788411459
1979-01-17,Upper Sacramento River,50.67293167114258,10.373850928412544
1979-01-18,Clear Creek,45.61921310424805,7.566229502360026
1979-01-18,Cottonwood Creek,49.61564254760742,9.786468082004124
1979-01-18,Upper Sacramento River,50.60089874267578,10.333832634819878
1979-01-19,Clear Creek,45.84113311767578,7.689518398708767
1979-01-19,Cottonwood Creek,49.70759963989258,9.837555355495876
1979-01-19,Upper Sacramento River,50.65586853027344,10.364371405707466
1979-01-20,Clear Creek,45.91037368774414,7.727985382080078
1979-01-20,Cottonwood Creek,49.88436126708984,9.935756259494354
1979-01-20,Upper Sacramento River,50.74561309814453,10.414229498969185
1979-01-21,Clear Creek,45.870853424072266,7.706029680040148
1979-01-21,Cottonwood Creek,49.85874938964844,9.921527438693577
1979-01-21,Upper Sacramento River,50.65826797485352,10.365704430474178
1979-01-22,Clear Creek,45.95549774169922,7.753054300944011
1979-01-22,Cottonwood Creek,49.82440185546875,9.902445475260416
1979-01-22,Upper Sacramento River,50.60661315917969,10.337007310655382
1979-01-23,Clear Creek,46.0254020690918,7.791890038384332
1979-01-23,Cottonwood Creek,49.741676330566406,9.85648685031467
1979-01-23,Upper Sacramento River,50.549198150634766,10.305110083685982
1979-01-24,Clear Creek,45.792938232421875,7.662743462456597
1979-01-24,Cottonwood Creek,49.458457946777344,9.69914330376519
1979-01-24,Upper Sacramento River,50.30713653564453,10.170631408691406
1979-01-25,Clear Creek,45.72625350952149,7.625696394178606
1979-01-25,Cottonwood Creek,49.23347091674805,9.57415050930447
1979-01-25,Upper Sacramento River,50.12792205810547,10.071067810058594
1979-01-26,Clear Creek,45.40620803833008,7.447893354627821
1979-01-26,Cottonwood Creek,48.589107513427734,9.216170840793186
1979-01-26,Upper Sacramento River,49.721435546875,9.84524197048611
1979-01-27,Clear Creek,44.80072784423828,7.111515469021267
1979-01-27,Cottonwood Creek,48.50458526611328,9.169214036729601
1979-01-27,Upper Sacramento River,49.61891555786133,9.788286421034071
1979-01-28,Clear Creek,44.80558395385742,7.114213307698567
1979-01-28,Cottonwood Creek,48.57682037353515,9.209344651963972
1979-01-28,Upper Sacramento River,49.538597106933594,9.743665059407553
1979-01-29,Clear Creek,44.89472961425781,7.163738674587673
1979-01-29,Cottonwood Creek,48.45250701904297,9.140281677246094
1979-01-29,Upper Sacramento River,49.39700698852539,9.665003882514107
1979-01-30,Clear Creek,44.49711608886719,6.942842271592882
1979-01-30,Cottonwood Creek,48.163421630859375,8.979678683810764
1979-01-30,Upper Sacramento River,49.157325744628906,9.531847635904947
1979-01-31,Clear Creek,44.56205749511719,6.97892083062066
1979-01-31,Cottonwood Creek,48.24335479736328,9.024085998535156
1979-01-31,Upper Sacramento River,49.13141250610352,9.517451392279733
1979-02-01,Clear Creek,44.64959335327149,7.027551862928607
1979-02-01,Cottonwood Creek,48.251197814941406,9.028443230523003
1979-02-01,Upper Sacramento River,49.044921875,9.469401041666666
1979-02-02,Clear Creek,44.67131042480469,7.0396169026692705
1979-02-02,Cottonwood Creek,47.445106506347656,8.580614725748697
1979-02-02,Upper Sacramento River,48.90837097167969,9.3935394287109375
1979-02-03,Clear Creek,44.715911865234375,7.064395480685764
1979-02-03,Cottonwood Creek,47.3336296081543,8.518683115641275
1979-02-03,Upper Sacramento River,48.86812973022461,9.371183183458117
1979-02-04,Clear Creek,44.69049453735352,7.050274742974179
1979-02-04,Cottonwood Creek,47.477054595947266,8.598363664415148
1979-02-04,Upper Sacramento River,48.93782043457031,9.409900241427952
1979-02-05,Clear Creek,44.981197357177734,7.211776309543186
1979-02-05,Cottonwood Creek,48.205440521240234,9.00302251180013
1979-02-05,Upper Sacramento River,49.45466613769531,9.6970367431640625
1979-02-06,Clear Creek,45.138458251953125,7.299143473307292
1979-02-06,Cottonwood Creek,48.72593307495117,9.29218504163954
1979-02-06,Upper Sacramento River,49.76136016845703,9.867422315809462
1979-02-07,Clear Creek,45.30681991577149,7.392677730984161
1979-02-07,Cottonwood Creek,48.99601364135742,9.442229800754124
1979-02-07,Upper Sacramento River,49.93464279174805,9.963690439860025
1979-02-08,Clear Creek,45.356651306152344,7.420361836751302
1979-02-08,Cottonwood Creek,48.95948791503906,9.421937730577257
1979-02-08,Upper Sacramento River,49.80059051513672,9.889216952853733
1979-02-09,Clear Creek,45.57634735107422,7.542415195041233
1979-02-09,Cottonwood Creek,48.906402587890625,9.392445882161459
1979-02-09,Upper Sacramento River,49.73558044433594,9.853100246853298
1979-02-10,Clear Creek,45.6943473815918,7.607970767550999
1979-02-10,Cottonwood Creek,48.963592529296875,9.424218071831596
1979-02-10,Upper Sacramento River,49.72832489013672,9.849069383409288
1979-02-11,Clear Creek,45.90278244018555,7.723768022325304
1979-02-11,Cottonwood Creek,49.11457824707031,9.508099026150173
1979-02-11,Upper Sacramento River,49.848243713378906,9.91569095187717
1979-02-12,Clear Creek,45.952186584472656,7.751214769151476
1979-02-12,Cottonwood Creek,49.20093536376953,9.556075202094185
1979-02-12,Upper Sacramento River,49.861778259277344,9.923210144042969
1979-02-13,Clear Creek,46.05368423461914,7.807602352566189
1979-02-13,Cottonwood Creek,48.93096923828125,9.40609402126736
1979-02-13,Upper Sacramento River,49.64858627319336,9.804770151774088
1979-02-14,Clear Creek,45.97770309448242,7.76539060804579
1979-02-14,Cottonwood Creek,48.418418884277344,9.121343824598524
1979-02-14,Upper Sacramento River,49.2018928527832,9.556607140435112
1979-02-15,Clear Creek,46.04095458984375,7.800530327690972
1979-02-15,Cottonwood Creek,48.28646087646485,9.048033820258249
1979-02-15,Upper Sacramento River,49.07527923583984,9.486266242133244
1979-02-16,Clear Creek,45.98983383178711,7.772129906548394
1979-02-16,Cottonwood Creek,48.12721252441406,8.959562513563368
1979-02-16,Upper Sacramento River,48.87491607666016,9.374953375922312
1979-02-17,Clear Creek,46.03586196899414,7.7977010938856335
1979-02-17,Cottonwood Creek,48.281620025634766,9.045344458685982
1979-02-17,Upper Sacramento River,48.98076248168945,9.43375693427192
1979-02-18,Clear Creek,46.08248519897461,7.823602888319227
1979-02-18,Cottonwood Creek,48.42244720458984,9.123581780327688
1979-02-18,Upper Sacramento River,49.04706573486328,9.470592074924046
1979-02-19,Clear Creek,45.97675323486328,7.764862908257379
1979-02-19,Cottonwood Creek,48.254093170166016,9.030051761203342
1979-02-19,Upper Sacramento River,48.839073181152344,9.355040656195747
1979-02-20,Clear Creek,45.992950439453125,7.773861355251736
1979-02-20,Cottonwood Creek,48.129676818847656,8.960931566026476
1979-02-20,Upper Sacramento River,48.68091583251953,9.267175462510851
1979-02-21,Clear Creek,46.1033935546875,7.835218641493055
1979-02-21,Cottonwood Creek,48.101654052734375,8.945363362630209
1979-02-21,Upper Sacramento River,48.649112701416016,9.249507056342232
1979-02-22,Clear Creek,46.00428009033203,7.780155605740017
1979-02-22,Cottonwood Creek,48.06693649291992,8.926075829399956
1979-02-22,Upper Sacramento River,48.59522247314453,9.219568040635851
1979-02-23,Clear Creek,46.04454803466797,7.802526685926649
1979-02-23,Cottonwood Creek,48.11946868896485,8.955260382758249
1979-02-23,Upper Sacramento River,48.60107421875,9.222819010416666
1979-02-24,Clear Creek,46.06146240234375,7.811923556857639
1979-02-24,Cottonwood Creek,48.206581115722656,9.003656175401476
1979-02-24,Upper Sacramento River,48.655426025390625,9.253014458550346
1979-02-25,Clear Creek,46.17529296875,7.875162760416667
1979-02-25,Cottonwood Creek,48.65727615356445,9.254042307535807
1979-02-25,Upper Sacramento River,48.96935272216797,9.427418178982204
1979-02-26,Clear Creek,46.27562713623047,7.930903964572483
1979-02-26,Cottonwood Creek,48.994110107421875,9.441172281901041
1979-02-26,Upper Sacramento River,49.238372802734375,9.576873779296875
1979-02-27,Clear Creek,46.36779022216797,7.9821056789822045
1979-02-27,Cottonwood Creek,49.31575012207031,9.619861178927952
1979-02-27,Upper Sacramento River,49.490386962890625,9.716881646050346
1979-02-28,Clear Creek,46.32626724243164,7.959037356906467
1979-02-28,Cottonwood Creek,49.263519287109375,9.590844048394096
1979-02-28,Upper Sacramento River,49.39067077636719,9.6614837646484375
1979-03-01,Clear Creek,46.344017028808594,7.968898349338108
1979-03-01,Cottonwood Creek,48.94169616699219,9.412053426106771
1979-03-01,Upper Sacramento River,49.12198638916016,9.512214660644535
1979-03-02,Clear Creek,46.43770980834961,8.020949893527561
1979-03-02,Cottonwood Creek,49.16725158691406,9.537361992730034
1979-03-02,Upper Sacramento River,49.14560317993164,9.525335099962023
1979-03-03,Clear Creek,46.39082336425781,7.994901869032118
1979-03-03,Cottonwood Creek,49.32468032836914,9.624822404649523
1979-03-03,Upper Sacramento River,49.08306121826172,9.490589565700954
1979-03-04,Clear Creek,46.34117889404297,7.967321607801649
1979-03-04,Cottonwood Creek,49.1087532043457,9.50486289130317
1979-03-04,Upper Sacramento River,48.88280487060547,9.37933603922526
1979-03-05,Clear Creek,46.550506591796875,8.083614773220486
1979-03-05,Cottonwood Creek,49.56512451171875,9.758402506510416
1979-03-05,Upper Sacramento River,49.29523468017578,9.608463711208767
1979-03-06,Clear Creek,46.89934539794922,8.277414109971788
1979-03-06,Cottonwood Creek,50.986209869384766,10.547894371880425
1979-03-06,Upper Sacramento River,50.31105041503906,10.172805786132812
1979-03-07,Clear Creek,47.0618896484375,8.367716471354166
1979-03-07,Cottonwood Creek,52.2646598815918,11.25814437866211
1979-03-07,Upper Sacramento River,51.17389678955078,10.652164883083767
1979-03-08,Clear Creek,47.361270904541016,8.534039391411675
1979-03-08,Cottonwood Creek,53.42012405395508,11.900068918863932
1979-03-08,Upper Sacramento River,51.896690368652344,11.053716871473524
1979-03-09,Clear Creek,47.404937744140625,8.558298746744791
1979-03-09,Cottonwood Creek,53.85469055175781,12.141494750976562
1979-03-09,Upper Sacramento River,51.8509635925293,11.02831310696072
1979-03-10,Clear Creek,47.35858154296875,8.532545301649305
1979-03-10,Cottonwood Creek,53.72998046875,12.072211371527779
1979-03-10,Upper Sacramento River,51.77490234375,10.98605685763889
1979-03-11,Clear Creek,47.26667785644531,8.481487698025173
1979-03-11,Cottonwood Creek,53.46599197387695,11.925551096598307
1979-03-11,Upper Sacramento River,51.82701110839844,11.015006171332466
1979-03-12,Clear Creek,47.157752990722656,8.42097388373481
1979-03-12,Cottonwood Creek,53.25698471069336,11.8094359503852
1979-03-12,Upper Sacramento River,51.78725051879883,10.992916954888237
1979-03-13,Clear Creek,47.23807144165039,8.465595245361328
1979-03-13,Cottonwood Creek,53.28558349609375,11.825324164496529
1979-03-13,Upper Sacramento River,51.89249420166016,11.05138566758898
1979-03-14,Clear Creek,47.39664840698242,8.553693559434679
1979-03-14,Cottonwood Creek,53.50804138183594,11.948911878797743
1979-03-14,Upper Sacramento River,52.13020706176758,11.183448367648655
1979-03-15,Clear Creek,47.410255432128906,8.561253017849392
1979-03-15,Cottonwood Creek,53.43532943725586,11.908516354031033
1979-03-15,Upper Sacramento River,52.41657257080078,11.342540317111546
1979-03-16,Clear Creek,47.183746337890625,8.435414632161459
1979-03-16,Cottonwood Creek,52.96280288696289,11.646001603868273
1979-03-16,Upper Sacramento River,52.68031692504883,11.48906495836046
1979-03-17,Clear Creek,47.14148712158203,8.411937289767796
1979-03-17,Cottonwood Creek,52.416526794433594,11.34251488579644
1979-03-17,Upper Sacramento River,52.603004455566406,11.446113586425781
1979-03-18,Clear Creek,47.28862762451172,8.493682013617622
1979-03-18,Cottonwood Creek,52.64799499511719,11.471108330620659
1979-03-18,Upper Sacramento River,52.9284553527832,11.626919640435112
1979-03-19,Clear Creek,47.255836486816406,8.475464714898003
1979-03-19,Cottonwood Creek,52.81166458129883,11.56203587849935
1979-03-19,Upper Sacramento River,53.00376892089844,11.668760511610243
1979-03-20,Clear Creek,47.631893157958984,8.684385087754992
1979-03-20,Cottonwood Creek,53.40653991699219,11.892522176106771
1979-03-20,Upper Sacramento River,53.678131103515625,12.043406168619791
1979-03-21,Clear Creek,47.605674743652344,8.66981930202908
1979-03-21,Cottonwood Creek,54.16648483276367,12.314713795979818
1979-03-21,Upper Sacramento River,54.069374084472656,12.260763380262587
1979-03-22,Clear Creek,47.70222091674805,8.723456064860025
1979-03-22,Cottonwood Creek,54.35144805908203,12.417471143934462
1979-03-22,Upper Sacramento River,54.24201965332031,12.356677585177952
1979-03-23,Clear Creek,47.681182861328125,8.711768256293404
1979-03-23,Cottonwood Creek,54.41478729248047,12.452659606933594
1979-03-23,Upper Sacramento River,54.33821487426758,12.4101193745931
1979-03-24,Clear Creek,47.80191421508789,8.778841230604383
1979-03-24,Cottonwood Creek,54.85956573486328,12.699758741590712
1979-03-24,Upper Sacramento River,54.715084075927734,12.619491153293186
1979-03-25,Clear Creek,47.94986724853515,8.861037360297306
1979-03-25,Cottonwood Creek,55.36958694458008,12.983103858100044
1979-03-25,Upper Sacramento River,55.05848693847656,12.810270521375868
1979-03-26,Clear Creek,48.066551208496094,8.92586178249783
1979-03-26,Cottonwood Creek,55.77411651611328,13.207842508951822
1979-03-26,Upper Sacramento River,55.36215591430664,12.978975507948133
1979-03-27,Clear Creek,48.20468521118164,9.002602895100912
1979-03-27,Cottonwood Creek,55.675045013427734,13.15280278523763
1979-03-27,Upper Sacramento River,55.391082763671875,12.995045979817709
1979-03-28,Clear Creek,48.423675537109375,9.124264187282986
1979-03-28,Cottonwood Creek,55.1510009765625,12.86166720920139
1979-03-28,Upper Sacramento River,55.28540802001953,12.93633778889974
1979-03-29,Clear Creek,48.01960372924805,8.899779849582249
1979-03-29,Cottonwood Creek,54.939414978027344,12.744119432237413
1979-03-29,Upper Sacramento River,55.042842864990234,12.801579369439018
1979-03-30,Clear Creek,48.21917724609375,9.01065402560764
1979-03-30,Cottonwood Creek,55.43840408325195,13.02133560180664
1979-03-30,Upper Sacramento River,55.32143020629883,12.95635011461046
1979-03-31,Clear Creek,48.407203674316406,9.115113152398003
1979-03-31,Cottonwood Creek,55.73945617675781,13.188586764865452
1979-03-31,Upper Sacramento River,55.47056579589844,13.039203219943577
1979-04-01,Clear Creek,48.62770462036133,9.237613677978516
1979-04-01,Cottonwood Creek,55.9935302734375,13.32973904079861
1979-04-01,Upper Sacramento River,55.76161193847656,13.200895521375868
1979-04-02,Clear Creek,49.0308952331543,9.461608462863499
1979-04-02,Cottonwood Creek,56.64304733276367,13.690581851535374
1979-04-02,Upper Sacramento River,56.06257629394531,13.368097941080729
1979-04-03,Clear Creek,49.14570617675781,9.525392320421007
1979-04-03,Cottonwood Creek,56.90571212768555,13.83650673760308
1979-04-03,Upper Sacramento River,56.26198196411133,13.478878868950737
1979-04-04,Clear Creek,49.01676177978515,9.453756544325083
1979-04-04,Cottonwood Creek,57.350982666015625,14.08387925889757
1979-04-04,Upper Sacramento River,56.40632629394531,13.559070163302952
1979-04-05,Clear Creek,48.999542236328125,9.444190131293404
1979-04-05,Cottonwood Creek,57.71489334106445,14.28605185614692
1979-04-05,Upper Sacramento River,56.47711181640625,13.598395453559029
1979-04-06,Clear Creek,49.421043395996094,9.678357442220053
1979-04-06,Cottonwood Creek,58.40024948120117,14.666805267333984
1979-04-06,Upper Sacramento River,57.01886749267578,13.899370829264322
1979-04-07,Clear Creek,49.15947723388672,9.533042907714844
1979-04-07,Cottonwood Creek,58.32685089111328,14.626028272840712
1979-04-07,Upper Sacramento River,56.82682418823242,13.792680104573568
1979-04-08,Clear Creek,49.20686340332031,9.559368557400173
1979-04-08,Cottonwood Creek,58.159690856933594,14.53316158718533
1979-04-08,Upper Sacramento River,56.886383056640625,13.825768364800346
1979-04-09,Clear Creek,49.3883171081543,9.66017617119683
1979-04-09,Cottonwood Creek,58.426307678222656,14.681282043457031
1979-04-09,Upper Sacramento River,57.15697479248047,13.976097106933594
1979-04-10,Clear Creek,49.628387451171875,9.793548583984375
1979-04-10,Cottonwood Creek,58.09259414672851,14.495885637071394
1979-04-10,Upper Sacramento River,57.01335144042969,13.896306355794271
1979-04-11,Clear Creek,49.36874008178711,9.649300045437283
1979-04-11,Cottonwood Creek,57.458045959472656,14.143358866373697
1979-04-11,Upper Sacramento River,56.67097473144531,13.706097073025173
1979-04-12,Clear Creek,49.615936279296875,9.786631266276041
1979-04-12,Cottonwood Creek,58.20726013183594,14.559588962131077
1979-04-12,Upper Sacramento River,57.08954620361328,13.938636779785156
1979-04-13,Clear Creek,49.66229248046875,9.812384711371529
1979-04-13,Cottonwood Creek,58.527557373046875,14.73753187391493
1979-04-13,Upper Sacramento River,57.108646392822266,13.94924799601237
1979-04-14,Clear Creek,49.59715270996094,9.776195949978298
1979-04-14,Cottonwood Creek,58.928260803222656,14.960144890679253
1979-04-14,Upper Sacramento River,57.25597381591797,14.031096564398872
1979-04-15,Clear Creek,49.792083740234375,9.884490966796875
1979-04-15,Cottonwood Creek,59.165496826171875,15.091942681206596
1979-04-15,Upper Sacramento River,57.47084045410156,14.150466918945312
1979-04-16,Clear Creek,49.96506881713867,9.980593787299263
1979-04-16,Cottonwood Creek,59.622066497802734,15.345592498779297
1979-04-16,Upper Sacramento River,57.800140380859375,14.333411322699654
1979-04-17,Clear Creek,49.9866828918457,9.992601606580946
1979-04-17,Cottonwood Creek,58.95240020751953,14.973555670844185
1979-04-17,Upper Sacramento River,57.49142074584961,14.161900414360893
1979-04-18,Clear Creek,49.5794563293457,9.76636462741428
1979-04-18,Cottonwood Creek,58.05020523071289,14.472336239284939
1979-04-18,Upper Sacramento River,56.96628189086914,13.870156606038412
1979-04-19,Clear Creek,49.513912200927734,9.72995122273763
1979-04-19,Cottonwood Creek,57.379783630371094,14.099879794650608
1979-04-19,Upper Sacramento River,56.62226486206055,13.67903603447808
1979-04-20,Clear Creek,49.58875274658203,9.771529303656685
1979-04-20,Cottonwood Creek,57.7269172668457,14.29273181491428
1979-04-20,Upper Sacramento River,56.81731414794922,13.787396748860678
1979-04-21,Clear Creek,49.7232666015625,9.846259223090279
1979-04-21,Cottonwood Creek,58.45674133300781,14.698189629448784
1979-04-21,Upper Sacramento River,57.05787658691406,13.921042548285591
1979-04-22,Clear Creek,49.995628356933594,9.997571309407553
1979-04-22,Cottonwood Creek,59.107418060302734,15.059676700168186
1979-04-22,Upper Sacramento River,57.343162536621094,14.079534742567274
1979-04-23,Clear Creek,49.939186096191406,9.966214497884115
1979-04-23,Cottonwood Creek,58.68852233886719,14.826956854926216
1979-04-23,Upper Sacramento River,57.020790100097656,13.900438944498697
1979-04-24,Clear Creek,49.861209869384766,9.922894371880425
1979-04-24,Cottonwood Creek,58.022830963134766,14.457128312852648
1979-04-24,Upper Sacramento River,56.7457389831543,13.747632768419054
1979-04-25,Clear Creek,49.69817352294922,9.832318623860678
1979-04-25,Cottonwood Creek,58.17116165161133,14.539534250895182
1979-04-25,Upper Sacramento River,56.741943359375,13.745524088541666
1979-04-26,Clear Creek,49.93889999389648,9.966055552164711
1979-04-26,Cottonwood Creek,58.67220306396485,14.817890591091583
1979-04-26,Upper Sacramento River,57.01820755004883,13.899004194471571
1979-04-27,Clear Creek,49.88749694824219,9.937498304578993
1979-04-27,Cottonwood Creek,58.61743927001953,14.787466261121962
1979-04-27,Upper Sacramento River,56.84109115600586,13.800606197781033
1979-04-28,Clear Creek,50.13353729248047,10.074187384711372
1979-04-28,Cottonwood Creek,58.64102554321289,14.800569746229383
1979-04-28,Upper Sacramento River,57.10340118408203,13.946333991156685
1979-04-29,Clear Creek,50.163307189941406,10.090726216634115
1979-04-29,Cottonwood Creek,59.452980041503906,15.251655578613281
1979-04-29,Upper Sacramento River,57.579986572265625,14.21110365125868
1979-04-30,Clear Creek,50.21105194091797,10.11725107828776
1979-04-30,Cottonwood Creek,60.06246566772461,15.59025870429145
1979-04-30,Upper Sacramento River,57.879150390625,14.377305772569445
1979-05-01,Clear Creek,50.15182113647461,10.084345075819227
1979-05-01,Cottonwood Creek,60.157623291015625,15.643124050564236
1979-05-01,Upper Sacramento River,57.872314453125,14.37350802951389
1979-05-02,Clear Creek,49.88920593261719,9.938447740342882
1979-05-02,Cottonwood Creek,59.722320556640625,15.40128919813368
1979-05-02,Upper Sacramento River,58.01881408691406,14.454896714952257
1979-05-03,Clear Creek,49.77692413330078,9.876068962944878
1979-05-03,Cottonwood Creek,60.26116561889648,15.700647566053599
1979-05-03,Upper Sacramento River,58.73399353027344,14.852218627929688
1979-05-04,Clear Creek,49.54793930053711,9.748855166965061
1979-05-04,Cottonwood Creek,60.32324981689453,15.735138787163628
1979-05-04,Upper Sacramento River,58.05971145629883,14.477617475721571
1979-05-05,Clear Creek,49.34326171875,9.635145399305555
1979-05-05,Cottonwood Creek,59.55007553100586,15.305597517225477
1979-05-05,Upper Sacramento River,57.425262451171875,14.125145806206596
1979-05-06,Clear Creek,49.3884162902832,9.660231272379557
1979-05-06,Cottonwood Creek,58.50397491455078,14.724430508083767
1979-05-06,Upper Sacramento River,56.61045455932617,13.672474755181206
1979-05-07,Clear Creek,49.036258697509766,9.464588165283203
1979-05-07,Cottonwood Creek,57.30015182495117,14.05563990275065
1979-05-07,Upper Sacramento River,55.51774597167969,13.065414428710938
1979-05-08,Clear Creek,48.699920654296875,9.277733696831596
1979-05-08,Cottonwood Creek,56.65038299560547,13.694657219780815
1979-05-08,Upper Sacramento River,55.2418327331543,12.91212929619683
1979-05-09,Clear Creek,48.65044403076172,9.25024668375651
1979-05-09,Cottonwood Creek,56.91630554199219,13.842391967773438
1979-05-09,Upper Sacramento River,55.699710845947266,13.166506025526258
