month,year,habitat_sqm,scenario,lifestage,run
4,1994,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,1997,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,1999,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
4,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1979,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1980,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1981,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1982,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1984,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1985,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1986,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1987,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1988,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1989,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1990,6943.99537436731,baseline_action5_2026-03-01,spawn,winter
5,1991,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1992,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1993,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1994,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1997,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,1999,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
5,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1979,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1980,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1981,6275.24818661537,baseline_action5_2026-03-01,spawn,winter
6,1982,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1984,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1985,6957.44485201406,baseline_action5_2026-03-01,spawn,winter
6,1986,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1987,7155.8949600254855,baseline_action5_2026-03-01,spawn,winter
6,1988,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1989,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1990,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
